,yawRate,drivingMode,topic,msgsize,time,gearLocation,metadataID,throttlePercentage,steeringPercentage,brakePercentage,groupMetadataID,errorCode,steeringRate,speedMps,engineStarted,_id,fuelRangeM,msg_type,engageAdvice.advice,signal.turnSignal,header.moduleName,header.sequenceNum,header.timestampSec,wheelSpeed.isWheelSpdRrValid,wheelSpeed.wheelSpdRr,wheelSpeed.isWheelSpdRlValid,wheelSpeed.wheelSpdFr,wheelSpeed.isWheelSpdFrValid,wheelSpeed.wheelSpdRl,wheelSpeed.wheelSpdFl,wheelSpeed.isWheelSpdFlValid
0,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166889985600397,GEAR_DRIVE,8b9283f8-c840-11ee-a7fc-dd032dba19e8,44,0.07411164,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,14.858949,True,a400ccbc-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,74560,1686166889.985513,True,40.997802734375,True,41.10251998901367,True,41.05016326904297,41.20724105834961,True
1,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166898984715932,GEAR_DRIVE,aa92c82f-c840-11ee-a7fc-dd032dba19e8,7.2,0.09263956,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,21.998709,True,c00519aa-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,75010,1686166898.9846795,True,60.946922302246094,True,60.89456558227539,True,60.946922302246094,60.89456558227539,True
2,0,COMPLETE_AUTO_DRIVE,/apollo/canbus/chassis,134,1686166925325719096,GEAR_DRIVE,08bc24f9-c841-11ee-a7fc-dd032dba19e8,3.6,0.31497452,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,24.63977,True,1743a964-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,76327,1686166925.3255877,True,68.32966613769531,True,68.27731323242188,True,68.2249526977539,68.2249526977539,True
3,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686167017788131367,GEAR_PARKING,43773e83-c842-11ee-a7fc-dd032dba19e8,0,2.5197961,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,0,True,4956471f-c842-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,80950,1686167017.7863307,True,0,True,0,True,0,0,True
4,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166989527826950,GEAR_DRIVE,e5497316-c841-11ee-a7fc-dd032dba19e8,0,16.656593,18.8,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,1.7187508,True,eb3b79ff-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,79537,1686166989.525722,True,4.974190711975098,True,4.764750957489014,True,4.817111015319824,4.869470596313477,True
0,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686167014529244111,GEAR_PARKING,2346aa2a-c842-11ee-a7fc-dd032dba19e8,0,2.6494913,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,0,True,3c514cb3-c842-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_RIGHT,canbus,80787,1686167014.5291653,True,0,True,0,True,0,0,True
1,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686167022847542195,GEAR_PARKING,43773e83-c842-11ee-a7fc-dd032dba19e8,0,2.5197961,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,0,True,5983cc21-c842-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,81203,1686167022.84511,True,0,True,0,True,0,0,True
2,0,COMPLETE_MANUAL,/apollo/canbus/chassis,134,1686166875366743467,GEAR_DRIVE,6a6c153e-c840-11ee-a7fc-dd032dba19e8,19.2,-0.5002536,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,16.857647,True,73bb3851-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,73829,1686166875.365626,True,46.652671813964844,True,46.70503234863281,True,46.600311279296875,46.757389068603516,True
3,0,COMPLETE_AUTO_DRIVE,/apollo/canbus/chassis,134,1686166928724168803,GEAR_DRIVE,08bc24f9-c841-11ee-a7fc-dd032dba19e8,4,0.12969539,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,24.717896,True,21c4c06e-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,76497,1686166928.7237847,True,68.53910827636719,True,68.48674774169922,True,68.43438720703125,68.48674774169922,True
0,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166976625782202,GEAR_DRIVE,a6500c1c-c841-11ee-a7fc-dd032dba19e8,0,-2.4456842,17.2,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,0.43619815,True,bf2521ff-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,78892,1686166976.6256566,True,1.2566375732421875,True,1.2566375732421875,True,1.151917815208435,1.151917815208435,True
