,time,longitudeStdDev,numSatsMulti,groupMetadataID,numSatsTracked,latitudeStdDev,differentialAge,longitude,solType,solutionAge,solStatus,latitude,numSatsInSolution
3,1686166982042055376,0.013298701,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,18,0.012092629,1,-82.10580759000084,NARROW_INT,0,SOL_COMPUTED,39.36229629192281,16
0,1686166871075727490,0.015711516,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,16,0.014195886,2,-82.08653722661231,NARROW_INT,0,SOL_COMPUTED,39.350717454369416,13
1,1686166896042304643,0.013026415,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,11,0.011562085,1,-82.09127773036532,NARROW_INT,0,SOL_COMPUTED,39.35319523190709,11
0,1686166877037512788,0.01506828,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,15,0.013485964,1,-82.08761427008872,NARROW_INT,0,SOL_COMPUTED,39.35128986626814,14
1,1686167020072815592,0.013118607,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.012501215,2,-82.10562728961165,NARROW_INT,0,SOL_COMPUTED,39.362599921335324,17
2,1686166966034379151,0.01511713,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.013667453,1,-82.10521417170246,NARROW_INT,0,SOL_COMPUTED,39.36169480345786,14
3,1686166937044841434,0.013101148,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.01247852,1,-82.1006068734657,NARROW_INT,0,SOL_COMPUTED,39.35805444700839,11
0,1686166957038530144,0.012763617,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.011557047,1,-82.10445327305654,NARROW_INT,0,SOL_COMPUTED,39.36045773960838,13
1,1686166930039551053,0.015968306,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.013394746,1,-82.09900386370094,NARROW_INT,0,SOL_COMPUTED,39.357218990859856,12
2,1686166986037861711,0.013994433,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,16,0.012764057,1,-82.10573204279484,NARROW_INT,0,SOL_COMPUTED,39.36249002644665,14
